Class;Method;CC
AlreadySelectedException;public Option getOption();1
AlreadySelectedException;public OptionGroup getOptionGroup();1
AmbiguousOptionException;private static String createMessage(final String option, final Collection<String> matchingOptions);3
AmbiguousOptionException;public Collection<String> getMatchingOptions();1
BasicParser;protected String[] flatten(@SuppressWarnings("unused") final Options options, final String[] arguments, @SuppressWarnings("unused") final boolean stopAtNonOption);1
CommandLine;public static Builder builder();1
CommandLine;protected void addArg(final String arg);2
CommandLine;protected void addOption(final Option opt);2
CommandLine;private T get(final Supplier<T> supplier);1
CommandLine;public List<String> getArgList();1
CommandLine;public String[] getArgs();1
CommandLine;public Object getOptionObject(final char opt);1
CommandLine;public Object getOptionObject(final String opt);1
CommandLine;public Properties getOptionProperties(final Option option);2
CommandLine;public Properties getOptionProperties(final String opt);2
CommandLine;public Option[] getOptions();1
CommandLine;public String getOptionValue(final char opt);1
CommandLine;public String getOptionValue(final char opt, final String defaultValue);1
CommandLine;public String getOptionValue(final char opt, final Supplier<String> defaultValue);1
CommandLine;public String getOptionValue(final Option option);1
CommandLine;public String getOptionValue(final Option option, final String defaultValue);1
CommandLine;public String getOptionValue(final Option option, final Supplier<String> defaultValue);1
CommandLine;public String getOptionValue(final OptionGroup optionGroup);1
CommandLine;public String getOptionValue(final OptionGroup optionGroup, final String defaultValue);1
CommandLine;public String getOptionValue(final OptionGroup optionGroup, final Supplier<String> defaultValue);1
CommandLine;public String getOptionValue(final String opt);1
CommandLine;public String getOptionValue(final String opt, final String defaultValue);1
CommandLine;public String getOptionValue(final String opt, final Supplier<String> defaultValue);1
CommandLine;public String[] getOptionValues(final char opt);1
CommandLine;public String[] getOptionValues(final Option option);4
CommandLine;public String[] getOptionValues(final OptionGroup optionGroup);2
CommandLine;public String[] getOptionValues(final String opt);1
CommandLine;public T getParsedOptionValue(final char opt) throws ParseException;1
CommandLine;public T getParsedOptionValue(final char opt, final Supplier<T> defaultValue) throws ParseException;1
CommandLine;public T getParsedOptionValue(final char opt, final T defaultValue) throws ParseException;1
CommandLine;public T getParsedOptionValue(final Option option) throws ParseException;1
CommandLine;public T getParsedOptionValue(final Option option, final Supplier<T> defaultValue) throws ParseException;3
CommandLine;public T getParsedOptionValue(final Option option, final T defaultValue) throws ParseException;1
CommandLine;public T getParsedOptionValue(final OptionGroup optionGroup) throws ParseException;1
CommandLine;public T getParsedOptionValue(final OptionGroup optionGroup, final Supplier<T> defaultValue) throws ParseException;2
